id,cid,pid,p,ap,v,ciso,u,dt,yoypc,seqpc
18315_5856_13001_3QFY-2017,18315,5856,3QFY-2017,3QFY-2017,,INR,1,A,,
18315_5856_13001_4QFY-2019,18315,5856,4QFY-2019,4QFY-2019,-8600000.0,INR,1,A,76.50273224043715,21.100917431192663
18315_2785_13001_FY-2028,18315,2785,FY-2028,FY-2028,-1.135707002943246,XXX,9,E,-14.441674092559905,-14.441674092559905
18315_5859_13001_1HFY-2025,18315,5859,1HFY-2025,1HFY-2025,26656200000.0,INR,1,A,7.90542154287079,
18315_5859_13001_FY-2026,18315,5859,FY-2026,FY-2026,30435086645.39743,INR,1,E,12.239911511601708,12.239911511601708
18315_5861_13001_FY-2019,18315,5861,FY-2019,FY-2019,14505800000.0,INR,1,A,,
18315_5861_13001_FY-2028,18315,5861,FY-2028,FY-2028,35821727207.037186,INR,1,E,11.458187792114254,11.458187792114254
18315_5865_13001_FY-2019,18315,5865,FY-2019,FY-2019,16.079246353178895,XXX,2,A,,
18315_5360_13001_FY-2026,18315,5360,FY-2026,FY-2026,326792394.36619717,INR,1,E,-0.1550887973733062,-0.1550887973733062
18315_5873_13001_FY-2025,18315,5873,FY-2025,FY-2025,11.05015318243994,XXX,2,A,-412.5949824943161,-412.5949824943161
18315_5873_13001_FY-2028,18315,5873,FY-2028,FY-2028,17.204380021440922,XXX,2,E,47.68558848453459,47.68558848453459
18315_5883_13001_1QFY-2027,18315,5883,1QFY-2027,1QFY-2027,1126798904.3435335,INR,1,E,6.362295784847966,-12.71988701349353
18315_5883_13001_4QFY-2018,18315,5883,4QFY-2018,4QFY-2018,693091572.8036033,INR,1,A,,25.36740404470999
18315_5883_13001_3QFY-2026,18315,5883,3QFY-2026,3QFY-2026,1278018369.369611,INR,1,E,56.1506927544015,12.582724776161738
18315_5883_13001_1QFY-2028,18315,5883,1QFY-2028,1QFY-2028,1190508934.402668,INR,1,E,5.654072773193863,11.732880114527834
18315_5884_13001_2QFY-2025,18315,5884,2QFY-2025,2QFY-2025,25784100000.0,INR,1,A,,
18315_5885_13001_FY-2020,18315,5885,FY-2020,FY-2020,15849585714.285715,INR,1,A,6.396741876227803,6.396741876227803
